epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.748,1.97041,2.30694,1.94591,0.35658,0.20468,0.17068,0.06092,2.13271,2.49667,2.124,0.0670753,0.000332572,0.000332572
2,421.175,1.94011,2.10957,1.9206,0.32993,0.29671,0.23764,0.09529,2.10812,2.38331,2.08933,0.0340687,0.000659313,0.000659313
3,627.436,1.90968,2.04774,1.89034,0.47616,0.33098,0.31961,0.13171,1.99734,1.88252,1.96378,0.00105556,0.000979454,0.000979454
4,792.933,1.85906,1.96398,1.85701,0.50743,0.34356,0.36305,0.16075,1.89322,1.79356,1.91824,0.0009703,0.0009703,0.0009703
5,958.587,1.83278,1.85176,1.82147,0.53387,0.38213,0.39307,0.17251,1.89908,1.70928,1.88143,0.0009604,0.0009604,0.0009604
6,1124.23,1.78755,1.78104,1.77768,0.53701,0.38981,0.42759,0.19619,1.81326,1.6557,1.81165,0.0009505,0.0009505,0.0009505
7,1290.24,1.76058,1.7373,1.75621,0.50938,0.38469,0.40156,0.18413,1.8011,1.62198,1.83095,0.0009406,0.0009406,0.0009406
8,1456.13,1.73255,1.68185,1.74829,0.55054,0.44849,0.47746,0.22245,1.76213,1.48434,1.76435,0.0009307,0.0009307,0.0009307
9,1621.92,1.69879,1.62514,1.7102,0.53716,0.44976,0.47746,0.22279,1.7612,1.50732,1.77568,0.0009208,0.0009208,0.0009208
10,1787.72,1.69521,1.60711,1.71177,0.52379,0.41811,0.43652,0.20675,1.77014,1.54,1.76545,0.0009109,0.0009109,0.0009109
11,1953.2,1.67583,1.56232,1.69683,0.51207,0.44717,0.46395,0.22372,1.74408,1.46605,1.75907,0.000901,0.000901,0.000901
12,2119.23,1.6533,1.53604,1.68929,0.60584,0.48132,0.52609,0.25804,1.71553,1.3589,1.71902,0.0008911,0.0008911,0.0008911
13,2284.94,1.65291,1.50954,1.67344,0.61713,0.47121,0.50691,0.24619,1.71323,1.36098,1.72276,0.0008812,0.0008812,0.0008812
14,2450.68,1.63629,1.48093,1.65688,0.59721,0.47988,0.52409,0.25775,1.68107,1.35677,1.72059,0.0008713,0.0008713,0.0008713
15,2616.24,1.62013,1.45702,1.65076,0.61294,0.49547,0.54474,0.26789,1.65364,1.27703,1.68062,0.0008614,0.0008614,0.0008614
16,2782.22,1.60086,1.41168,1.63509,0.63024,0.50087,0.55396,0.27909,1.63554,1.29151,1.6654,0.0008515,0.0008515,0.0008515
17,2947.83,1.59428,1.39005,1.63295,0.62554,0.51398,0.55208,0.27654,1.64953,1.24489,1.69041,0.0008416,0.0008416,0.0008416
18,3113.58,1.58481,1.37764,1.62809,0.63341,0.49215,0.54077,0.27268,1.63826,1.27096,1.66907,0.0008317,0.0008317,0.0008317
19,3279.28,1.55076,1.33036,1.60218,0.62789,0.51777,0.56648,0.29431,1.58955,1.21535,1.6333,0.0008218,0.0008218,0.0008218
20,3445.09,1.54043,1.31535,1.59148,0.65982,0.51516,0.58726,0.30764,1.57796,1.19815,1.62449,0.0008119,0.0008119,0.0008119
21,3610.74,1.5387,1.29274,1.59612,0.66553,0.53638,0.59362,0.30466,1.59585,1.19098,1.64484,0.000802,0.000802,0.000802
22,3776.45,1.52875,1.29243,1.58884,0.63933,0.54535,0.59747,0.30742,1.57427,1.20019,1.62503,0.0007921,0.0007921,0.0007921
23,3941.98,1.51105,1.24713,1.56611,0.6519,0.56581,0.60159,0.32058,1.55077,1.11933,1.61017,0.0007822,0.0007822,0.0007822
24,4107.39,1.49189,1.23172,1.56099,0.66996,0.53518,0.59755,0.31414,1.56526,1.12341,1.61911,0.0007723,0.0007723,0.0007723
25,4272.72,1.50011,1.20836,1.56725,0.68585,0.56395,0.62817,0.33366,1.53108,1.08361,1.59618,0.0007624,0.0007624,0.0007624
26,4438.23,1.47374,1.1892,1.54555,0.66961,0.5532,0.60462,0.32165,1.53475,1.09957,1.58116,0.0007525,0.0007525,0.0007525
27,4603.74,1.47572,1.18189,1.54363,0.71498,0.53196,0.61853,0.32744,1.52581,1.08858,1.59538,0.0007426,0.0007426,0.0007426
28,4768.92,1.44655,1.14551,1.52632,0.68355,0.56984,0.62625,0.33652,1.52054,1.05972,1.57195,0.0007327,0.0007327,0.0007327
29,4934.33,1.44328,1.14758,1.52169,0.67362,0.59131,0.63194,0.34367,1.50976,1.03832,1.58131,0.0007228,0.0007228,0.0007228
30,5099.71,1.43218,1.12041,1.51437,0.71805,0.60768,0.66563,0.36729,1.48103,0.9876,1.56078,0.0007129,0.0007129,0.0007129
31,5265.51,1.41326,1.09354,1.49762,0.70503,0.60694,0.66468,0.36925,1.48755,0.98379,1.54988,0.000703,0.000703,0.000703
32,5431.09,1.39734,1.07453,1.48409,0.72235,0.57781,0.65936,0.37115,1.45975,0.98939,1.54035,0.0006931,0.0006931,0.0006931
33,5596.48,1.39597,1.06781,1.47976,0.70198,0.60439,0.66438,0.36134,1.4835,0.97828,1.55294,0.0006832,0.0006832,0.0006832
34,5761.61,1.37,1.03705,1.46574,0.71269,0.61835,0.68437,0.38083,1.46303,0.9334,1.54244,0.0006733,0.0006733,0.0006733
35,5926.76,1.36625,1.01623,1.45865,0.69393,0.61894,0.67691,0.37821,1.45296,0.9457,1.52186,0.0006634,0.0006634,0.0006634
36,6091.87,1.36022,1.00997,1.45192,0.73596,0.60352,0.67624,0.38231,1.43594,0.93829,1.52673,0.0006535,0.0006535,0.0006535
37,6257.25,1.34582,1.00747,1.44434,0.74193,0.62089,0.68972,0.3918,1.42161,0.91692,1.50523,0.0006436,0.0006436,0.0006436
38,6422.61,1.3311,0.98055,1.43162,0.71855,0.62963,0.68058,0.39399,1.42565,0.89758,1.51015,0.0006337,0.0006337,0.0006337
39,6587.85,1.32435,0.96203,1.42267,0.71477,0.637,0.69483,0.39382,1.42497,0.88559,1.4994,0.0006238,0.0006238,0.0006238
40,6753.14,1.30528,0.94186,1.41967,0.7511,0.63237,0.70526,0.40842,1.39643,0.87246,1.48801,0.0006139,0.0006139,0.0006139
41,6918.68,1.30307,0.9382,1.41867,0.75904,0.64488,0.70726,0.40454,1.41164,0.86614,1.49636,0.000604,0.000604,0.000604
42,7083.84,1.29218,0.91514,1.40401,0.74853,0.65563,0.70623,0.4101,1.39589,0.85357,1.48343,0.0005941,0.0005941,0.0005941
43,7249.21,1.29002,0.91053,1.40134,0.76149,0.65128,0.71782,0.41265,1.37754,0.86056,1.4676,0.0005842,0.0005842,0.0005842
44,7414.82,1.26957,0.89183,1.38208,0.77905,0.6483,0.71913,0.42018,1.37729,0.835,1.46196,0.0005743,0.0005743,0.0005743
45,7580.32,1.25248,0.88172,1.37496,0.75153,0.67149,0.72307,0.41856,1.37978,0.83495,1.46953,0.0005644,0.0005644,0.0005644
46,7745.8,1.24868,0.87699,1.36907,0.76029,0.66807,0.73032,0.42682,1.35862,0.82063,1.45609,0.0005545,0.0005545,0.0005545
47,7911.28,1.23124,0.85063,1.36197,0.77247,0.67166,0.73488,0.43197,1.35037,0.80298,1.44844,0.0005446,0.0005446,0.0005446
48,8076.65,1.22819,0.84659,1.35888,0.78859,0.65758,0.73489,0.4351,1.34538,0.79759,1.45727,0.0005347,0.0005347,0.0005347
